"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1982","Stratum_1"," [kg*km2/km2]",2511706338.17464,233223592.406725,0.0928546418273635
"1","1983","Stratum_1"," [kg*km2/km2]",5924692223.47128,509955153.831085,0.0860728514826214
"1","1984","Stratum_1"," [kg*km2/km2]",4090433925.8751,366043296.42279,0.0894876443565776
"1","1985","Stratum_1"," [kg*km2/km2]",4714208565.93713,476680889.616055,0.101115782840061
"1","1986","Stratum_1"," [kg*km2/km2]",4378092497.35734,391874858.381912,0.0895081267968761
"1","1987","Stratum_1"," [kg*km2/km2]",4865432022.1055,463389596.552631,0.0952412025175311
"1","1988","Stratum_1"," [kg*km2/km2]",6660638941.94398,661487788.455441,0.0993129629486234
"1","1989","Stratum_1"," [kg*km2/km2]",5986630850.5637,523964810.122743,0.0875224852177759
"1","1990","Stratum_1"," [kg*km2/km2]",6275740317.67483,683980348.772122,0.108987994108962
"1","1991","Stratum_1"," [kg*km2/km2]",4561551422.72724,414102906.125772,0.0907811548637964
"1","1992","Stratum_1"," [kg*km2/km2]",4269109910.49738,405446869.674231,0.0949722256335617
"1","1993","Stratum_1"," [kg*km2/km2]",5167605055.23719,442838999.674887,0.0856952098585951
"1","1994","Stratum_1"," [kg*km2/km2]",4729957234.60847,426672808.891453,0.0902064834264344
"1","1995","Stratum_1"," [kg*km2/km2]",4286701333.88126,425772887.785358,0.0993241316860894
"1","1996","Stratum_1"," [kg*km2/km2]",2878974376.20563,232238898.379589,0.0806672335464378
"1","1997","Stratum_1"," [kg*km2/km2]",3245823801.52221,268365507.993682,0.0826802452640298
"1","1998","Stratum_1"," [kg*km2/km2]",2403358242.14259,210156347.882333,0.0874427890928897
"1","1999","Stratum_1"," [kg*km2/km2]",3340250501.6083,324356277.604006,0.0971053750153861
"1","2000","Stratum_1"," [kg*km2/km2]",4691599008.86042,411648845.492456,0.0877416941889168
"1","2001","Stratum_1"," [kg*km2/km2]",3971304038.84752,337189068.36966,0.0849063846714474
"1","2002","Stratum_1"," [kg*km2/km2]",4362502836.62924,340249709.467884,0.0779941520292015
"1","2003","Stratum_1"," [kg*km2/km2]",7165185320.63475,638862084.558578,0.0891619764137493
"1","2004","Stratum_1"," [kg*km2/km2]",3694249910.93026,305693508.347353,0.0827484646999355
"1","2005","Stratum_1"," [kg*km2/km2]",4504861737.53915,395758739.986361,0.0878514731514379
"1","2006","Stratum_1"," [kg*km2/km2]",2796017764.67744,250177619.757212,0.0894764056644229
"1","2007","Stratum_1"," [kg*km2/km2]",3922258068.73695,418965534.584105,0.106817432010286
"1","2008","Stratum_1"," [kg*km2/km2]",2748996289.70397,277841185.006533,0.101070047292226
"1","2009","Stratum_1"," [kg*km2/km2]",2017746302.30609,228624833.229434,0.11330702624415
"1","2010","Stratum_1"," [kg*km2/km2]",3344006078.51653,337106059.177731,0.100809044978554
"1","2011","Stratum_1"," [kg*km2/km2]",2888842936.91433,260321138.222506,0.0901125966026258
"1","2012","Stratum_1"," [kg*km2/km2]",3290190051.41613,270478196.800534,0.0822074690439591
"1","2013","Stratum_1"," [kg*km2/km2]",4246317010.24291,386508818.499702,0.0910221298992446
"1","2014","Stratum_1"," [kg*km2/km2]",7433657542.61491,580328262.494559,0.0780676617355203
